doc_content|doc_title|doc_url|doc_key|doc_date|doc_year|doc_lang|doc_tdmcat|doc_srccat
Two Bayesian optimal design criteria for hierarchical linear models are discussed – the ψβ criterion for the estimation of individual-level parameters β, and the ψθ criterion for the estimation of hyperparameters θ. We focus on a specific case in which all subjects receive the same set of treatments and in which the covariates are independent of treatments. We obtain the explicit structure of ψβ- and ψθ- optimal continuous (approximate) designs for the case of independent random effects, and for some special cases of correlated random effects. Through examples and simulations, we compare ψβ- and ψθ-optimal designs under more general scenarios of correlated random effects. While orthogonal designs are often ψβ-optimal even when the random effects are correlated, ψθ-optimal designs tend to be nonorthogonal and unbalanced. In our study of the robustness of ψβ- and ψθ-optimal designs, both types of designs are found to be insensitive to various specifications of the response errors and the variances of the random effects, but sensitive to the specifications of the signs of the correlations of the random effects.|BAYESIAN DESIGNS FOR HIERARCHICAL LINEAR MODELS|http://www.jstor.org/stable/24310154|24310154|2012-01-01|2012|['eng']|['Mathematics - Mathematical logic']|['Mathematics', 'Science and Mathematics', 'Statistics']
"A regular supply of applicants to Queen's University in Kingston, Ontario is provided by 65 high schools. Each high school can be characterized by a series of grading standards which change from year to year. To aid admissions decisions, it is desirable to forecast the current year's grading standards for all 65 high schools using grading standards estimated from past year's data. We develop and apply a Bayesian break-point time-series model that generates forecasts which involve smoothing across time for each school and smoothing across schools. ""Break point"" refers to a point in time which divides the past into the ""old past"" and the ""recent past"" where the yearly observations in the recent past are exchangeable with the observations in the year to be forecast. We show that this model works fairly well when applied to 11 years of Queen's University data. The model can be applied to other data sets with the parallel time-series structure and short history, and can be extended in several ways to more complicated structures. /// Une bonne partie de la clientèle de l'université Queen's (à Kingston, en Ontario) provient chaque année des mêmes écoles secondaires. Le niveau moyen de préparation des finissants de ces 65 écoles peut être représenté numériquement par un indice dont la valeur change d'année en année. Pour faciliter l'évaluation des dossiers, on désirait prévoir cette valeur pour chacune des écoles à partir des données des années antérieures. A cette fin, nous avons élaboré et testé un modèle bayésien de ces séries chronologiques d'indices. Les données ont été lissées afin de tenir compte des variations dans le temps et entre les écoles. Des points de rupture permettant de discerner entre le passé récent et ancien ont également été incorporés au modèle et les données des années récentes ont été considérées comme échangeables avec les observations prédites. Ce modèle donne des résultats acceptables pour les données accumulées pendant 11 ans par l'université Queen's. Il se prête bien aux situations où l'on a affaire à plusieurs petites séries chronologiques parallèles et il peut être généralisé de diverses manières afin de tenir compte de structures plus compliquées."|Bayesian Break-Point Forecasting in Parallel Time Series, with Application to University Admissions|http://www.jstor.org/stable/3314857|3314857|1987-03-01|1987|['eng']|['Mathematics - Applied mathematics']|['Science & Mathematics', 'Statistics']
Multivariate hierarchical Bayesian models provide a flexible framework for comprehensive study of biological systems with more than one outcome. Recent methodological developments facilitate modeling of heterogeneous associations between outcomes by specifying a linear mixed model on (co)variances at different levels of the data structure. Motivated by previous evidence for heterogeneous correlations in animal agriculture, we apply the proposed hierarchical Bayesian models to study the nature of the correlations between key performance outcomes in dairy cattle production systems, namely milk yield and reproduction. That is, the association between these outcomes might depend upon various fixed and random effect sources of heterogeneity both at the individual cow (residual) level as well as the herd (cluster) level. We thus propose a sequential modeling approach based on the deviance information criterion to select relevant explanatory variables on both types of associations. Furthermore, we extend the proposed methodology to accommodate right-censored outcomes, as common for dairy reproduction data, and use it to analyze field data from the Michigan dairy industry. The nature of the associations between milk production and reproduction in dairy cattle was inferred to be strongly heterogeneous and driven by multiple farm management practices and herd attributes, as well as by random clustering effects, at both cow and herd levels, thereby suggesting potential between-herd and within-herd intervention strategies to optimize performance of dairy production systems. Supplementary materials are available online.|Inferring Upon Heterogeneous Associations in Dairy Cattle Performance Using a Bivariate Hierarchical Model|http://www.jstor.org/stable/23208850|23208850|2012-04-01|2012|['eng']|['Applied sciences - Engineering']|['Science & Mathematics', 'Agriculture', 'Statistics']
The sampling/importance resampling algorithm is an approximate noniterative sampling method. The algorithm has been used on many occasions to select an approximate random sample of size m from a target distribution from M input random variates. The selection mechanism is an unequal probability sampling with weights being the importance weights. As the weights are random, sampling without replacement is not always possible and some input variates may have more than one copy in the final sample.Duplication of values in the final output is undesirable as it means dependence among the output variates. In this paper a general and simple determination rule for M is proposed. It keeps the duplication problem at a tolerably low level when a tight resampling method is used. We show that (a) M = O(m) if and only if the importance weight is bounded above, (b) if the importance weight has a moment generating function, the suggested M is of order O(mln(m)), and (c) M may need to be as large as O(mc/(c−1)) if the importance weight has finite c-th moment for a c &gt; 1. A procedure is suggested to determine M numerically. The method is tested on the Pareto, Gamma and Beta distributions, and gives satisfactory results.|POOL SIZE SELECTION FOR THE SAMPLING/IMPORTANCE RESAMPLING ALGORITHM|http://www.jstor.org/stable/24307704|24307704|2007-07-01|2007|['eng']|['Mathematics - Applied mathematics']|['Mathematics', 'Science and Mathematics', 'Statistics']
Spline and generalized spline smoothing is shown to be equivalent to Bayesian estimation with a partially improper prior. This result supports the idea that spline smoothing is a natural solution to the regression problem when one is given a set of regression functions but one also wants to hedge against the possibility that the true model is not exactly in the span of the given regression functions. A natural measure of the deviation of the true model from the span of the regression functions comes out of the spline theory in a natural way. An appropriate value of this measure can be estimated from the data and used to constrain the estimated model to have the estimated deviation. Some convergence results and computational tricks are also discussed.|Improper Priors, Spline Smoothing and the Problem of Guarding Against Model Errors in Regression|http://www.jstor.org/stable/2984701|2984701|1978-01-01|1978|['eng']|['Mathematics - Mathematical logic']|['Science & Mathematics', 'Statistics']
"In this article, we present new methods to analyze data from an experiment using rodent models to investigate the role of p27, an important cell-cycle mediator, in early colon carcinogenesis. The responses modeled here are essentially functions nested within a two-stage hierarchy. Standard functional data analysis literature focuses on a single stage of hierarchy and conditionally independent functions with near white noise. However, in our experiment, there is substantial biological motivation for the existence of spatial correlation among the functions, which arise from the locations of biological structures called colonic crypts: this possible functional correlation is a phenomenon we term crypt signaling. Thus, as a point of general methodology, we require an analysis that allows for functions to be correlated at the deepest level of the hierarchy. Our approach is fully Bayesian and uses Markov chain Monte Carlo methods for inference and estimation. Analysis of this data set gives new insights into the structure of p27 expression in early colon carcinogenesis and suggests the existence of significant crypt signaling. Our methodology uses regression splines, and because of the hierarchical nature of the data, dimension reduction of the covariance matrix of the spline coefficients is important: we suggest simple methods for overcoming this problem. /// Dans cet article nous présentons de nouvelles méthodes pour analyser les données d'une expérience utilisant des modèles de rongeur pour investiguer le rôle du p27, un important médiateur du cycle cellulaire, dans la carcinogenèse précoce du colon. Les réponses étudiées ici sont essentiellement des fonctions emboîtées dans une hiérarchie à 2 niveaux. La littérature concernant l'analyse standard de données fonctionnelles se concentre sur un seul niveau de hiérarchie, et sur des fonctions conditionnellement indépendantes avec bruit presque blanc. Cependant, dans notre expérience, il y a des arguments biologiques substantiels en faveur de l'existence de corrélations entre les fonctions, qui tirent leur origine de la localisation de structures biologiques appelées ""cryptes de colonisation"": cette possible corrélation fonctionnelle est un phénomène que nous appelons ""signalisation entre cryptes"". Ainsi, en tant qu'aspect de méthodologie générale, nous avons besoin d'une analyse qui permette que les fonctions soient corrélées au niveau le plus profond de la hiérarchie. Notre approche est complètement bayesienne et utilise des méthodes de Monte Carlo par Chaînes de Markov pour l'inférence et l'estimation. L'analyse de ce jeu de données donne un nouvel aperçu de la structure de l'expression du p27 dans la carcinogénèse précoce du colon, et suggère l'existence d'une ""signalisation entre cryptes"" significative. Notre méthodologie utilise des splines de régression, et à cause de la nature hiérarchique des données, la réduction de dimension de la matrice de covariance des coefficients de spline est importante: nous suggérons des méthodes simples pour surmonter ce problème."|Bayesian Hierarchical Spatially Correlated Functional Data Analysis with Application to Colon Carcinogenesis|http://www.jstor.org/stable/25502022|25502022|2008-03-01|2008|['eng']|['Applied sciences - Engineering', 'Biological sciences - Biology']|['Science & Mathematics', 'Statistics']
"This paper deals with the analysis of multivariate survival data from a Bayesian perspective using Markov-chain Monte Carlo methods. The Metropolis along with the Gibbs algorithm is used to calculate some of the marginal posterior distributions. A multivariate survival model is proposed, since survival times within the same group are correlated as a consequence of a frailty random block effect. The conditional proportional-hazards model of Clayton and Cuzick is used with a martingale structured prior process (Arjas and Gasbarra) for the discretized baseline hazard. Besides the calculation of the marginal posterior distributions of the parameters of interest, this paper presents some Bayesian EDA diagnostic techniques to detect model adequacy. The methodology is exemplified with kidney infection data where the times to infections within the same patients are expected to be correlated. /// Cet article a pour objet l'analyse de données de survie multivariées dans un perspective bayesienne utilisant des méthodes de chaîne de Markov Monte Carlo. Metropolis, ainsi que l'algorithme de Gibbs est utilisé pour calculer les distributions marginales a posteriori. Nous proposons un modèle de survie multivariée puisque les temps de survie au sein d'un même ""groupe"" sont en corrélation en conséquence d'un effet de bloc aléatoire de fragillité. Le modèle des hasards conditionnels proportionnels de Clayton et Cuzick est utilisé avec un processus a priori structuré en martingale (Arjas et Gasbarra) pour le hasard de référence rendu discret. A part le calcul des distributions a posteriori marginales des paramètres d'intérêt, cet article présente certaines techniques bayesiennes de diagnostic EDA pour détecter l'insuffisance du modèle. La méthodologie est illustrée par des données sur l'infection du rein où l'on s'attend à ce que les temps avant les infections chez les même patients soient en corrélation."|Bayesian Analysis of Multivariate Survival Data Using Monte Carlo Methods|http://www.jstor.org/stable/3315671|3315671|1998-03-01|1998|['eng']|['Mathematics - Mathematical logic']|['Science & Mathematics', 'Statistics']
We consider the on-line Bayesian analysis of data by using a hidden Markov model, where inference is tractable conditional on the history of the state of the hidden component. A new particle filter algorithm is introduced and shown to produce promising results when analysing data of this type. The algorithm is similar to the mixture Kalman filter but uses a different resampling algorithm. We prove that this resampling algorithm is computationally efficient and optimal, among unbiased resampling algorithms, in terms of minimizing a squared error loss function. In a practical example, that of estimating break points from well-log data, our new particle filter outperforms two other particle filters, one of which is the mixture Kalman filter, by between one and two orders of magnitude.|On-Line Inference for Hidden Markov Models via Particle Filters|http://www.jstor.org/stable/3647589|3647589|2003-01-01|2003|['eng']|['Applied sciences - Engineering']|['Science & Mathematics', 'Statistics']
1. To ensure the successful detection, control and eradication of invasive plant species, we need information that can identify areas prone to invasions and criteria that can point out which particular populations may become foci of further spread. Specifically, our work aimed to develop statistical models that identify hotspots of invasive plant species and evaluate the conditions that give rise to successful populations of invasive species. 2. We combined extensive data sets on invasive species richness and on species per cent ground cover, together with climate, local habitat and land cover data. We then estimated invasive species richness as a function of those environmental variables by developing a spatially explicit generalized linear model within a hierarchical Bayesian framework. In a second analysis, we used an ordinal logistic regression model to quantify invasive species abundance as a function of the same set of predictor variables. 3. Our results show which locations in the studied region, north-eastern USA, are prone to plant species invasions given the combination of climatic and land cover conditions particular to the sites. Predictions were also generated under a range of climate scenarios forecasted for the region, which pointed out at an increase in invasive species incidence under the most moderate forecast. Predicted abundance for some of the most common invasive plant species, Berberis thumbergii, Celastrus orbiculatus, Euonymus alata, Elaeagnus umbellata and Rosa multiflora, allowed us to identify the specific conditions that promote successful population growth of these species, populations that could become foci of further spread. 4. Synthesis and applications. Reliable predictions of plants' invasive potential are crucial for the successful implementation of control and eradication management plans. By following a multivariate approach the parameters estimated in this study can now be used on targeted locations to evaluate the risk of invasions given the local climate and landscape structure; they can also be applied under different climate scenarios and changing landscapes providing an array of possible outcomes. In addition, this modelling approach can be easily used in other regions and for other species.|Identifying Hotspots for Plant Invasions and Forecasting Focal Points of Further Spread|http://www.jstor.org/stable/25623112|25623112|2009-12-01|2009|['eng']|['Biological sciences - Biogeography', 'Biological sciences - Biology', 'Biological sciences - Ecology']|['Ecology & Evolutionary Biology', 'Science & Mathematics', 'Biological Sciences']
Colorectal cancer (CRC) IS the third leading cause of cancer death in the US, and stage at diagnosis is the primary prognostic factor. To date, the interplay between geographic place and individual characteristics such as cancer stage with CRC survival is unexplored. We used a Bayesian geosurvival statistical model to evaluate whether the spatial patterns of CRC survival at the census tract level varies by stage at diagnosis (in situ/local, regional, distant), controlling for patient characteristics, surveillance test use, and treatment using linked 1991–2005 SEER-Medicare data of patients ≥ 66 years old in two US metropolitan areas. The spatial pattern of survival varied by stage at diagnosis for both cancer sites and registries. Significant spatial effects were identified in all census tracts for colon cancer and the majority of census tracts for rectal cancer. Geographic disparities appeared to be highest for distant-stage rectal cancer. Compared to those with in situ/local stage in the same census tracts, patients with distant-stage cancer were at most 7.73 times and 4.69 times more likely to die of colon and rectal cancer, respectively. Moreover, frailty areas for CRC at in situ/local stage more likely have a higher relative risk at regional stage, but not at distant stage. We identified geographic areas with excessive risk of CRC death and demonstrated that spatial patterns varied by both cancer type and cancer stage. More research is needed to understand the moderating pathways between geographic and individuallevel factors on CRC survival.|The modifying effect of patient location on stage-specific survival following colorectal cancer using geosurvival models|http://www.jstor.org/stable/24717872|24717872|2013-03-01|2013|['eng']|['Health sciences - Medical specialties']|['Medicine & Allied Health', 'Health Sciences']
